code,count,formalization_scope,share,source_scope
I0,115,supplemental_formalization_v1,0.5583,xhs_expansion_candidate_v1
I1,45,supplemental_formalization_v1,0.2184,xhs_expansion_candidate_v1
I7,37,supplemental_formalization_v1,0.1796,xhs_expansion_candidate_v1
I6,23,supplemental_formalization_v1,0.1117,xhs_expansion_candidate_v1
I3,16,supplemental_formalization_v1,0.0777,xhs_expansion_candidate_v1
I2,9,supplemental_formalization_v1,0.0437,xhs_expansion_candidate_v1
I5,8,supplemental_formalization_v1,0.0388,xhs_expansion_candidate_v1
I4,6,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1
I8,3,supplemental_formalization_v1,0.0146,xhs_expansion_candidate_v1
