count,count_base,formalization_scope,left,right,source_scope
165,included_rows,supplemental_formalization_v1,,,xhs_expansion_candidate_v1
24,included_rows,supplemental_formalization_v1,J4,K3,xhs_expansion_candidate_v1
20,included_rows,supplemental_formalization_v1,J1,K2,xhs_expansion_candidate_v1
19,included_rows,supplemental_formalization_v1,J2,K3,xhs_expansion_candidate_v1
18,included_rows,supplemental_formalization_v1,J3,K3,xhs_expansion_candidate_v1
17,included_rows,supplemental_formalization_v1,J1,K3,xhs_expansion_candidate_v1
16,included_rows,supplemental_formalization_v1,J2,K2,xhs_expansion_candidate_v1
14,included_rows,supplemental_formalization_v1,J3,K2,xhs_expansion_candidate_v1
14,included_rows,supplemental_formalization_v1,J4,K2,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,J1,K4,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,J2,K4,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,J3,K6,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,J4,K4,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,J4,K6,xhs_expansion_candidate_v1
7,included_rows,supplemental_formalization_v1,J2,K6,xhs_expansion_candidate_v1
7,included_rows,supplemental_formalization_v1,J3,K4,xhs_expansion_candidate_v1
6,included_rows,supplemental_formalization_v1,J1,K6,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,J2,K1,xhs_expansion_candidate_v1
1,included_rows,supplemental_formalization_v1,J3,K1,xhs_expansion_candidate_v1
