code,count,count_base,formalization_scope,share,source_scope
I0,111,included_rows,supplemental_formalization_v1,0.555,xhs_expansion_candidate_v1
I1,43,included_rows,supplemental_formalization_v1,0.215,xhs_expansion_candidate_v1
I7,37,included_rows,supplemental_formalization_v1,0.185,xhs_expansion_candidate_v1
I6,23,included_rows,supplemental_formalization_v1,0.115,xhs_expansion_candidate_v1
I3,15,included_rows,supplemental_formalization_v1,0.075,xhs_expansion_candidate_v1
I2,9,included_rows,supplemental_formalization_v1,0.045,xhs_expansion_candidate_v1
I5,8,included_rows,supplemental_formalization_v1,0.04,xhs_expansion_candidate_v1
I4,6,included_rows,supplemental_formalization_v1,0.03,xhs_expansion_candidate_v1
I8,3,included_rows,supplemental_formalization_v1,0.015,xhs_expansion_candidate_v1
